original,new_names
PatNum,patient_number
EmplType,physician_employment_type
Certification,physician_certification
InjuryMech,injury_mechanism
High_impact_InjSev,injury_mechanism_severity
Amnesia_verb,has_event_amnesia
LOCSeparate,has_loss_of_consciousness_history
LocLen,loss_of_consciousness_duration
Seiz,has_posttraumatic_seizure
SeizOccur,seizure_timing
SeizLen,posttraumatic_seizure_duration
ActNorm,acting_normal
HA_verb,has_headache_at_ED
HASeverity,headache_severity
HAStart,headache_start_time
Vomit,has_vomiting_post_injury
VomitNbr,number_of_vomiting_episodes
VomitStart,vomiting_start_time
VomitLast,vomiting_last_time
Dizzy,has_dizziness_at_ED
Intubated,eval_after_intubation
Paralyzed,eval_after_paralysis
Sedated,eval_after_sedated
GCSEye,gcs_eye_score
GCSVerbal,gcs_verbal_score
GCSMotor,gcs_motor_score
GCSTotal,gcs_total_score
GCSGroup,gcs_category
AMS,has_altered_mental_status
AMSAgitated,ams_agitated
AMSSleep,ams_sleepy
AMSSlow,ams_slow_to_respond
AMSRepeat,ams_repetitive_questions
AMSOth,ams_other
SFxPalp,has_palpable_skull_fracture
SFxPalpDepress,skull_fracture_depressed
FontBulg,has_anterior_fontanelle_bulging
SFxBas,has_basilar_skull_fracture_signs
SFxBasHem,has_basilar_hemotympanum
SFxBasOto,has_basilar_csf_otorrhea
SFxBasPer,has_basilar_raccoon_eyes
SFxBasRet,has_basilar_battles_sign
SFxBasRhi,has_basilar_csf_rhinorrhea
Hema,has_hematomas_or_swellings
HemaLoc,hemotomas_or_swellings_location
HemaSize,largest_hemotoma_or_swelling_size
Clav,has_trauma_above_clavicles
ClavFace,has_trauma_face
ClavNeck,has_trauma_neck
ClavFro,has_trauma_scalp_frontal
ClavOcc,has_trauma_scalp_occipital
ClavPar,has_trauma_scalp_parietal
ClavTem,has_trauma_scalp_temporal
NeuroD,has_neuro_deficit
NeuroDMotor,has_neuro_deficit_motor
NeuroDSensory,has_neuro_deficit_sensory
NeuroDCranial,has_neuro_deficit_cranial_nerve
NeuroDReflex,has_neuro_deficit_reflexes
NeuroDOth,has_neuro_deficit_other
OSI,has_other_substantial_injury_non_head
OSIExtremity,has_osi_extremity
OSICut,has_osi_laceration_requiring_operation
OSICspine,has_osi_cervical_spine
OSIFlank,has_osi_chest_back_flank
OSIAbdomen,has_osi_abdominal
OSIPelvis,has_osi_pelvis
OSIOth,has_osi_other
Drugs,clinical_suspicion_of_intoxication
CTForm1,ct_head_imaging_ordered
IndAge,ct_primary_indication_young_age
IndAmnesia,ct_primary_indication_amnesia
IndAMS,ct_primary_indication_altered_mental_status
IndClinSFx,ct_primary_indication_skull_fracture
IndHA,ct_primary_indication_headache
IndHema,ct_primary_indication_scalp_hematoma
IndLOC,ct_primary_indication_loss_of_consciousness
IndMech,ct_primary_indication_injury_mechanism
IndNeuroD,ct_primary_indication_neuro_deficit
IndRqstMD,ct_primary_indication_md_request
IndRqstParent,ct_primary_indication_parental_request
IndRqstTrauma,ct_primary_indication_trauma_team_request
IndSeiz,ct_primary_indication_seizure
IndVomit,ct_primary_indication_vomiting
IndXraySFx,ct_primary_indication_skull_fracture_on_xray
IndOth,ct_primary_indication_other
CTSed,ct_sedation_given
CTSedAgitate,ct_sedation_reason_agitation
CTSedAge,ct_sedation_reason_young_age
CTSedRqst,ct_sedation_reason_technician_request
CTSedOth,ct_sedation_reason_other
AgeInMonth,patient_age_months
AgeinYears,patient_age_years
AgeTwoPlus,patient_age_under_2yr
Gender,patient_gender
Ethnicity,patient_ethnicity
Race,patient_race
Observed,ed_observation_for_ct_decision
EDDisposition,ed_discharge_status
CTDone,head_ct_performed
EDCT,head_ct_performed_in_ed
PosCT,ct_shows_tbi
Finding1,ct_finding_cerebellar_hemorrhage
Finding2,ct_finding_cerebral_contusion
Finding3,ct_finding_cerebral_edema
Finding4,ct_finding_cerebral_hemorrhage
Finding5,ct_finding_skull_diastasis
Finding6,ct_finding_epidural_hematoma
Finding7,ct_finding_extra_axial_hematoma
Finding8,ct_finding_intraventricular_hemorrhage
Finding9,ct_finding_midline_shift
Finding10,ct_finding_pneumocephalus
Finding11,ct_finding_skull_fracture
Finding12,ct_finding_subarachnoid_hemorrhage
Finding13,ct_finding_subdural_hematoma
Finding14,ct_finding_traumatic_infarction
Finding20,ct_extra_finding_diffuse_axonal_injury
Finding21,ct_extra_finding_herniation
Finding22,ct_extra_finding_shear_injury
Finding23,ct_extra_finding_sigmoid_sinus_thrombosis
DeathTBI,death_due_to_tbi
HospHead,hospitalized_2plus_nights_head_injury
HospHeadPosCT,hospitalized_2plus_nights_with_positive_ct
Intub24Head,intubated_24plus_hours_head_trauma
Neurosurgery,neurosurgery_performed
PosIntFinal,has_clinically_important_tbi